phecode,ICD,flag,phecode_string,phecode_category,sex,icd10_only,code_val
GI_526.1,A03.3,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
ID_027,A03.8,10,Shigella,Infections,Both,0,027
ID_089,A03.8,10,Infections,Infections,Both,0,089
ID_089.1,A03.8,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A03.8,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A03.8,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
ID_027,A03.9,10,Shigella,Infections,Both,0,027
ID_089,A03.9,10,Infections,Infections,Both,0,089
ID_089.1,A03.9,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A03.9,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A03.9,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
ID_089,A04,10,Infections,Infections,Both,0,089
ID_089.1,A04,10,Bacterial infections,Infections,Both,0,089.1
ID_003,A04.0,10,Escherichia coli,Infections,Both,0,003
ID_089,A04.0,10,Infections,Infections,Both,0,089
ID_089.1,A04.0,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A04.0,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A04.0,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
GI_526.11,A04.0,10,Intestinal e.coli,Gastrointestinal,Both,0,526.11
ID_003,A04.1,10,Escherichia coli,Infections,Both,0,003
ID_089,A04.1,10,Infections,Infections,Both,0,089
ID_089.1,A04.1,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A04.1,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A04.1,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
GI_526.11,A04.1,10,Intestinal e.coli,Gastrointestinal,Both,0,526.11
ID_003,A04.2,10,Escherichia coli,Infections,Both,0,003
ID_089,A04.2,10,Infections,Infections,Both,0,089
ID_089.1,A04.2,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A04.2,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A04.2,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
GI_526.11,A04.2,10,Intestinal e.coli,Gastrointestinal,Both,0,526.11
ID_003,A04.3,10,Escherichia coli,Infections,Both,0,003
ID_089,A04.3,10,Infections,Infections,Both,0,089
ID_089.1,A04.3,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A04.3,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A04.3,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
GI_526.11,A04.3,10,Intestinal e.coli,Gastrointestinal,Both,0,526.11
ID_003,A04.4,10,Escherichia coli,Infections,Both,0,003
ID_089,A04.4,10,Infections,Infections,Both,0,089
ID_089.1,A04.4,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A04.4,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A04.4,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
GI_526.11,A04.4,10,Intestinal e.coli,Gastrointestinal,Both,0,526.11
ID_030,A04.5,10,Campylobacter,Infections,Both,0,030
ID_089,A04.5,10,Infections,Infections,Both,0,089
ID_089.1,A04.5,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A04.5,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A04.5,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
ID_032,A04.6,10,Yersinia,Infections,Both,0,032
ID_089,A04.6,10,Infections,Infections,Both,0,089
ID_089.1,A04.6,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A04.6,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A04.6,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
ID_015,A04.7,10,Clostridium,Infections,Both,0,015
ID_015.2,A04.7,10,Clostridium difficile,Infections,Both,0,015.2
ID_089,A04.7,10,Infections,Infections,Both,0,089
ID_089.1,A04.7,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A04.7,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A04.7,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
GI_526.12,A04.7,10,Intestinal infection due to C. difficile,Gastrointestinal,Both,0,526.12
ID_089,A04.8,10,Infections,Infections,Both,0,089
ID_089.1,A04.8,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A04.8,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A04.8,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
ID_089,A04.9,10,Infections,Infections,Both,0,089
ID_089.1,A04.9,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A04.9,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A04.9,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
ID_089,A05,10,Infections,Infections,Both,0,089
ID_089.1,A05,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A05,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A05,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
ID_002,A05.0,10,Staphylococcus,Infections,Both,0,002
ID_089,A05.0,10,Infections,Infections,Both,0,089
ID_089.1,A05.0,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A05.0,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A05.0,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
ID_015,A05.1,10,Clostridium,Infections,Both,0,015
ID_015.3,A05.1,10,Clostridium botulinum,Infections,Both,0,015.3
ID_089,A05.1,10,Infections,Infections,Both,0,089
ID_089.1,A05.1,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A05.1,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A05.1,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
ID_015,A05.2,10,Clostridium,Infections,Both,0,015
ID_015.1,A05.2,10,Clostridium perfringens,Infections,Both,0,015.1
ID_089,A05.2,10,Infections,Infections,Both,0,089
ID_089.1,A05.2,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A05.2,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A05.2,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
ID_023,A05.3,10,Vibrio,Infections,Both,0,023
ID_089,A05.3,10,Infections,Infections,Both,0,089
ID_089.1,A05.3,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A05.3,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A05.3,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
ID_028,A05.4,10,Bacillus,Infections,Both,0,028
ID_089,A05.4,10,Infections,Infections,Both,0,089
ID_089.1,A05.4,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A05.4,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A05.4,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
ID_089,A05.8,10,Infections,Infections,Both,0,089
ID_089.2,A05.8,10,Viral infections,Infections,Both,0,089.2
GI_526,A05.8,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.1,A05.8,10,Bacterial enteritis,Gastrointestinal,Both,0,526.1
ID_089,A05.9,10,Infections,Infections,Both,0,089
ID_089.1,A05.9,10,Bacterial infections,Infections,Both,0,089.1
GI_526,A05.9,10,Intestinal infection,Gastrointestinal,Both,0,526
ID_084,A06,10,Parasites,Infections,Both,0,084
ID_084.1,A06,10,Amebiasis,Infections,Both,0,084.1
GI_526,A06,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.3,A06,10,Intestinal infection due to protozoa,Gastrointestinal,Both,0,526.3
ID_084,A06.0,10,Parasites,Infections,Both,0,084
ID_084.1,A06.0,10,Amebiasis,Infections,Both,0,084.1
GI_526,A06.0,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.3,A06.0,10,Intestinal infection due to protozoa,Gastrointestinal,Both,0,526.3
ID_084,A06.1,10,Parasites,Infections,Both,0,084
ID_084.1,A06.1,10,Amebiasis,Infections,Both,0,084.1
GI_526,A06.1,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.3,A06.1,10,Intestinal infection due to protozoa,Gastrointestinal,Both,0,526.3
ID_084,A06.2,10,Parasites,Infections,Both,0,084
ID_084.1,A06.2,10,Amebiasis,Infections,Both,0,084.1
GI_526,A06.2,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.3,A06.2,10,Intestinal infection due to protozoa,Gastrointestinal,Both,0,526.3
ID_084,A06.3,10,Parasites,Infections,Both,0,084
ID_084.1,A06.3,10,Amebiasis,Infections,Both,0,084.1
GI_526,A06.3,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.3,A06.3,10,Intestinal infection due to protozoa,Gastrointestinal,Both,0,526.3
ID_084,A06.4,10,Parasites,Infections,Both,0,084
ID_084.1,A06.4,10,Amebiasis,Infections,Both,0,084.1
GI_546,A06.4,10,Other disorders of liver,Gastrointestinal,Both,0,546
GI_546.2,A06.4,10,Abscess of liver,Gastrointestinal,Both,0,546.2
ID_084,A06.5,10,Parasites,Infections,Both,0,084
ID_084.1,A06.5,10,Amebiasis,Infections,Both,0,084.1
RE_482,A06.5,10,Suppurative and necrotic conditions of the lower respiratory tract,Respiratory,Both,0,482
RE_482.1,A06.5,10,Abscess of lung and mediastinum,Respiratory,Both,0,482.1
ID_084,A06.6,10,Parasites,Infections,Both,0,084
ID_084.1,A06.6,10,Amebiasis,Infections,Both,0,084.1
NS_322,A06.6,10,Other CNS infection,Neurological,Both,0,322
NS_322.4,A06.6,10,Intracranial and intraspinal abscess,Neurological,Both,0,322.4
ID_084,A06.7,10,Parasites,Infections,Both,0,084
ID_084.1,A06.7,10,Amebiasis,Infections,Both,0,084.1
DE_660,A06.7,10,Infection of the skin,Dermatological,Both,0,660
ID_084,A06.8,10,Parasites,Infections,Both,0,084
ID_084.1,A06.8,10,Amebiasis,Infections,Both,0,084.1
ID_084,A06.9,10,Parasites,Infections,Both,0,084
ID_084.1,A06.9,10,Amebiasis,Infections,Both,0,084.1
GI_526,A06.9,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.3,A06.9,10,Intestinal infection due to protozoa,Gastrointestinal,Both,0,526.3
ID_084,A07,10,Parasites,Infections,Both,0,084
GI_526,A07,10,Intestinal infection,Gastrointestinal,Both,0,526
ID_084,A07.0,10,Parasites,Infections,Both,0,084
GI_526,A07.0,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.3,A07.0,10,Intestinal infection due to protozoa,Gastrointestinal,Both,0,526.3
ID_084,A07.1,10,Parasites,Infections,Both,0,084
ID_084.7,A07.1,10,Giardiasis,Infections,Both,0,084.7
GI_526,A07.1,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.3,A07.1,10,Intestinal infection due to protozoa,Gastrointestinal,Both,0,526.3
ID_084,A07.2,10,Parasites,Infections,Both,0,084
ID_084.8,A07.2,10,Cryptosporidiosis,Infections,Both,0,084.8
GI_526,A07.2,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.3,A07.2,10,Intestinal infection due to protozoa,Gastrointestinal,Both,0,526.3
ID_084,A07.3,10,Parasites,Infections,Both,0,084
GI_526,A07.3,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.3,A07.3,10,Intestinal infection due to protozoa,Gastrointestinal,Both,0,526.3
ID_084,A07.8,10,Parasites,Infections,Both,0,084
GI_526,A07.8,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.3,A07.8,10,Intestinal infection due to protozoa,Gastrointestinal,Both,0,526.3
ID_084,A07.9,10,Parasites,Infections,Both,0,084
GI_526,A07.9,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.3,A07.9,10,Intestinal infection due to protozoa,Gastrointestinal,Both,0,526.3
ID_089,A08,10,Infections,Infections,Both,0,089
ID_089.2,A08,10,Viral infections,Infections,Both,0,089.2
GI_526,A08,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.2,A08,10,Viral enteritis,Gastrointestinal,Both,0,526.2
ID_063,A08.0,10,Rotavirus,Infections,Both,0,063
ID_089,A08.0,10,Infections,Infections,Both,0,089
ID_089.2,A08.0,10,Viral infections,Infections,Both,0,089.2
GI_526,A08.0,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.2,A08.0,10,Viral enteritis,Gastrointestinal,Both,0,526.2
GI_526,A08.1,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.2,A08.1,10,Viral enteritis,Gastrointestinal,Both,0,526.2
ID_060,A08.2,10,Adenovirus,Infections,Both,0,060
ID_089,A08.2,10,Infections,Infections,Both,0,089
ID_089.2,A08.2,10,Viral infections,Infections,Both,0,089.2
GI_526,A08.2,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.2,A08.2,10,Viral enteritis,Gastrointestinal,Both,0,526.2
ID_089,A08.3,10,Infections,Infections,Both,0,089
ID_089.2,A08.3,10,Viral infections,Infections,Both,0,089.2
GI_526,A08.3,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.2,A08.3,10,Viral enteritis,Gastrointestinal,Both,0,526.2
ID_089,A08.4,10,Infections,Infections,Both,0,089
ID_089.2,A08.4,10,Viral infections,Infections,Both,0,089.2
GI_526,A08.4,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.2,A08.4,10,Viral enteritis,Gastrointestinal,Both,0,526.2
ID_089,A08.5,10,Infections,Infections,Both,0,089
ID_089.2,A08.5,10,Viral infections,Infections,Both,0,089.2
GI_526,A08.5,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526.2,A08.5,10,Viral enteritis,Gastrointestinal,Both,0,526.2
GI_526,A09,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526,A09.0,10,Intestinal infection,Gastrointestinal,Both,0,526
GI_526,A09.9,10,Intestinal infection,Gastrointestinal,Both,0,526
ID_005,A15,10,Mycobacteria,Infections,Both,0,005
ID_005.1,A15,10,Mycobacterium tuberculosis,Infections,Both,0,005.1
ID_089,A15,10,Infections,Infections,Both,0,089
ID_089.1,A15,10,Bacterial infections,Infections,Both,0,089.1
RE_460,A15,10,Respiratory infection,Respiratory,Both,0,460
RE_460.3,A15,10,Pulmonary tuberculosis,Respiratory,Both,0,460.3
ID_005,A15.0,10,Mycobacteria,Infections,Both,0,005
ID_005.1,A15.0,10,Mycobacterium tuberculosis,Infections,Both,0,005.1
ID_089,A15.0,10,Infections,Infections,Both,0,089
ID_089.1,A15.0,10,Bacterial infections,Infections,Both,0,089.1
RE_460,A15.0,10,Respiratory infection,Respiratory,Both,0,460
RE_460.3,A15.0,10,Pulmonary tuberculosis,Respiratory,Both,0,460.3
ID_005,A15.1,10,Mycobacteria,Infections,Both,0,005
ID_005.1,A15.1,10,Mycobacterium tuberculosis,Infections,Both,0,005.1
ID_089,A15.1,10,Infections,Infections,Both,0,089
ID_089.1,A15.1,10,Bacterial infections,Infections,Both,0,089.1
RE_460,A15.1,10,Respiratory infection,Respiratory,Both,0,460
RE_460.3,A15.1,10,Pulmonary tuberculosis,Respiratory,Both,0,460.3
ID_005,A15.2,10,Mycobacteria,Infections,Both,0,005
ID_005.1,A15.2,10,Mycobacterium tuberculosis,Infections,Both,0,005.1
ID_089,A15.2,10,Infections,Infections,Both,0,089
ID_089.1,A15.2,10,Bacterial infections,Infections,Both,0,089.1
RE_460,A15.2,10,Respiratory infection,Respiratory,Both,0,460
RE_460.3,A15.2,10,Pulmonary tuberculosis,Respiratory,Both,0,460.3
ID_005,A15.3,10,Mycobacteria,Infections,Both,0,005
ID_005.1,A15.3,10,Mycobacterium tuberculosis,Infections,Both,0,005.1
ID_089,A15.3,10,Infections,Infections,Both,0,089
ID_089.1,A15.3,10,Bacterial infections,Infections,Both,0,089.1
RE_460,A15.3,10,Respiratory infection,Respiratory,Both,0,460
RE_460.3,A15.3,10,Pulmonary tuberculosis,Respiratory,Both,0,460.3
ID_005,A15.4,10,Mycobacteria,Infections,Both,0,005
ID_005.1,A15.4,10,Mycobacterium tuberculosis,Infections,Both,0,005.1
ID_089,A15.4,10,Infections,Infections,Both,0,089
ID_089.1,A15.4,10,Bacterial infections,Infections,Both,0,089.1
RE_460,A15.4,10,Respiratory infection,Respiratory,Both,0,460
RE_460.3,A15.4,10,Pulmonary tuberculosis,Respiratory,Both,0,460.3
ID_005,A15.5,10,Mycobacteria,Infections,Both,0,005
ID_005.1,A15.5,10,Mycobacterium tuberculosis,Infections,Both,0,005.1
ID_089,A15.5,10,Infections,Infections,Both,0,089
ID_089.1,A15.5,10,Bacterial infections,Infections,Both,0,089.1
RE_460,A15.5,10,Respiratory infection,Respiratory,Both,0,460
RE_460.3,A15.5,10,Pulmonary tuberculosis,Respiratory,Both,0,460.3
ID_005,A15.6,10,Mycobacteria,Infections,Both,0,005
ID_005.1,A15.6,10,Mycobacterium tuberculosis,Infections,Both,0,005.1
ID_089,A15.6,10,Infections,Infections,Both,0,089
ID_089.1,A15.6,10,Bacterial infections,Infections,Both,0,089.1
RE_460,A15.6,10,Respiratory infection,Respiratory,Both,0,460
RE_460.3,A15.6,10,Pulmonary tuberculosis,Respiratory,Both,0,460.3
RE_491,A15.6,10,Pleurisy,Respiratory,Both,0,491
ID_005,A15.7,10,Mycobacteria,Infections,Both,0,005
ID_005.1,A15.7,10,Mycobacterium tuberculosis,Infections,Both,0,005.1
ID_089,A15.7,10,Infections,Infections,Both,0,089
ID_089.1,A15.7,10,Bacterial infections,Infections,Both,0,089.1
RE_460,A15.7,10,Respiratory infection,Respiratory,Both,0,460
RE_460.3,A15.7,10,Pulmonary tuberculosis,Respiratory,Both,0,460.3
ID_005,A15.8,10,Mycobacteria,Infections,Both,0,005
ID_005.1,A15.8,10,Mycobacterium tuberculosis,Infections,Both,0,005.1
ID_089,A15.8,10,Infections,Infections,Both,0,089
ID_089.1,A15.8,10,Bacterial infections,Infections,Both,0,089.1
RE_460,A15.8,10,Respiratory infection,Respiratory,Both,0,460
RE_460.3,A15.8,10,Pulmonary tuberculosis,Respiratory,Both,0,460.3
ID_005,A15.9,10,Mycobacteria,Infections,Both,0,005
ID_005.1,A15.9,10,Mycobacterium tuberculosis,Infections,Both,0,005.1
ID_089,A15.9,10,Infections,Infections,Both,0,089
ID_089.1,A15.9,10,Bacterial infections,Infections,Both,0,089.1
RE_460,A15.9,10,Respiratory infection,Respiratory,Both,0,460
RE_460.3,A15.9,10,Pulmonary tuberculosis,Respiratory,Both,0,460.3
ID_005,A16,10,Mycobacteria,Infections,Both,0,005
ID_005.1,A16,10,Mycobacterium tuberculosis,Infections,Both,0,005.1
ID_089,A16,10,Infections,Infections,Both,0,089
ID_089.1,A16,10,Bacterial infections,Infections,Both,0,089.1
RE_460,A16,10,Respiratory infection,Respiratory,Both,0,460
RE_460.3,A16,10,Pulmonary tuberculosis,Respiratory,Both,0,460.3
ID_005,A16.0,10,Mycobacteria,Infections,Both,0,005
ID_005.1,A16.0,10,Mycobacterium tuberculosis,Infections,Both,0,005.1
ID_089,A16.0,10,Infections,Infections,Both,0,089
ID_089.1,A16.0,10,Bacterial infections,Infections,Both,0,089.1
RE_460,A16.0,10,Respiratory infection,Respiratory,Both,0,460
RE_460.3,A16.0,10,Pulmonary tuberculosis,Respiratory,Both,0,460.3
ID_005,A16.1,10,Mycobacteria,Infections,Both,0,005
ID_005.1,A16.1,10,Mycobacterium tuberculosis,Infections,Both,0,005.1
ID_089,A16.1,10,Infections,Infections,Both,0,089
ID_089.1,A16.1,10,Bacterial infections,Infections,Both,0,089.1
RE_460,A16.1,10,Respiratory infection,Respiratory,Both,0,460
RE_460.3,A16.1,10,Pulmonary tuberculosis,Respiratory,Both,0,460.3
ID_005,A16.2,10,Mycobacteria,Infections,Both,0,005
ID_005.1,A16.2,10,Mycobacterium tuberculosis,Infections,Both,0,005.1
ID_089,A16.2,10,Infections,Infections,Both,0,089
ID_089.1,A16.2,10,Bacterial infections,Infections,Both,0,089.1
RE_460,A16.2,10,Respiratory infection,Respiratory,Both,0,460
RE_460.3,A16.2,10,Pulmonary tuberculosis,Respiratory,Both,0,460.3
ID_005,A16.3,10,Mycobacteria,Infections,Both,0,005
ID_005.1,A16.3,10,Mycobacterium tuberculosis,Infections,Both,0,005.1
ID_089,A16.3,10,Infections,Infections,Both,0,089
ID_089.1,A16.3,10,Bacterial infections,Infections,Both,0,089.1
RE_460,A16.3,10,Respiratory infection,Respiratory,Both,0,460
RE_460.3,A16.3,10,Pulmonary tuberculosis,Respiratory,Both,0,460.3
ID_005,A16.4,10,Mycobacteria,Infections,Both,0,005
ID_005.1,A16.4,10,Mycobacterium tuberculosis,Infections,Both,0,005.1
ID_089,A16.4,10,Infections,Infections,Both,0,089
ID_089.1,A16.4,10,Bacterial infections,Infections,Both,0,089.1
RE_460,A16.4,10,Respiratory infection,Respiratory,Both,0,460
RE_460.3,A16.4,10,Pulmonary tuberculosis,Respiratory,Both,0,460.3
ID_005,A16.5,10,Mycobacteria,Infections,Both,0,005
ID_005.1,A16.5,10,Mycobacterium tuberculosis,Infections,Both,0,005.1
ID_089,A16.5,10,Infections,Infections,Both,0,089
ID_089.1,A16.5,10,Bacterial infections,Infections,Both,0,089.1
RE_460,A16.5,10,Respiratory infection,Respiratory,Both,0,460
RE_460.3,A16.5,10,Pulmonary tuberculosis,Respiratory,Both,0,460.3
RE_491,A16.5,10,Pleurisy,Respiratory,Both,0,491
ID_005,A16.7,10,Mycobacteria,Infections,Both,0,005
ID_005.1,A16.7,10,Mycobacterium tuberculosis,Infections,Both,0,005.1
ID_089,A16.7,10,Infections,Infections,Both,0,089
ID_089.1,A16.7,10,Bacterial infections,Infections,Both,0,089.1
RE_460,A16.7,10,Respiratory infection,Respiratory,Both,0,460
RE_460.3,A16.7,10,Pulmonary tuberculosis,Respiratory,Both,0,460.3
ID_005,A16.8,10,Mycobacteria,Infections,Both,0,005
